create_char_title	Create a New Character
plw_brionacsword.1	You trained the {0} category {1} time(s).
plw_brionacsword.2	Shock absorbed. A power within has awakened.
plw_brionacsword.3	The power of the Brionac is disappearing.
plw_brionacsword.4	The Brionac could not be restored.
plw_brionacsword.5	The Brionac was restored by {0} points.
plw_brionacsword.6	A power sealed within the Brionac has awakened.
plw_castle.0	{0} Gold from the Guild Deposit\nwas transferred to the Castle Deposit.\n\nAvailable Balance in the Castle Deposit : {1} Gold\nAvailable Balance in the Guild Deposit : {2} Gold
plw_castle.1	Failed to transfer the Gold from the Guild Deposit to the Castle Deposit.\n\nAvailable Balance in the Castle Deposit : {0} Gold\nAvailable Balance in the Guild Deposit : {1} Gold
plw_castle.2	{0} Gold in the Guild Deposit\nhas been transferred to the castle.\n\nAvailable Balance in the Castle Deposit : {1} Gold\nAvailable Balance in the Guild Deposit : {2} Gold
plw_castle.3	Failed to transfer Gold from the Guild Deposit to the Castle Deposit.\n\nAvailable Balance in the Castle Deposit : {0} Gold\nAvailable Balance in the Guild Deposit : {1} Gold
plw_charactercommonapi.1	Both hands must be free in order to perform a Transmutation.
plw_characterevent.1	Since your character is over the age of 20, your character is eligible for a free rebirth.\nRebirth will alow you to reset your character's age and level, while maintaining the skill ranks.\nResetting the level will allow you to quickly gain AP, which will allow you to grow your character at a much faster pace.\nDo you wish to go through rebirth?
plw_characterevent.2	Rebirth
plw_characterevent.3	Cancel
plw_charactervmmessage.1	Select the item to repair.
plw_charactervmmessage.2	The item repair was successful.
plw_charactervmmessage.3	The item repair failed.
plw_charactervmmessage.4	Select the item to improve durability.
plw_charactervmmessage.5	The durability of the item has been improved.
plw_charactervmmessage.6	Failed to improve the durability of the item.
plw_charactervmmessage.7	The advancement test cannot be held due to insufficient enrollment.\nIf you still want to take the test, you may join the test applicants that are one dan lower than you.\nPlease remember: you will only gain 50% of the Dan EXP upon passing the test.\nWould you like to join the applicants for a test?
plw_charactervmmessage.8	Write your wish on this piece of paper.
plw_charactervmmessage.9	You can trade the Wish Notes for a gift based on the number of notes you have.\nYou currently have {0} Wish Notes.\nWould you like to trade?
plw_charactervmmessage.10	Trade Wish Notes
plw_charactervmmessage.11	Yes\n
plw_charactervmmessage.12	No\n
plw_charactervmmessage.13	You failed to dismantle the Barrier Spikes.
plw_charactervmmessage.14	You cannot access any dungeons here with an Unrestricted Dungeon Pass.
plw_charactervmmessage.15	Unable to create an Unrestricted Dungeon Pass List Window.
plw_charactervmmessage.16	Failed to transmit Visual Chat.
plw_charactervmmessage.17	Failed to receive Visual Chat.
plw_charactervmmessage.18	Failed to receive {0}'s Visual Chat.
plw_charactervmmessage.19	The expiration date for the Golden Combo Card has extended.
plw_charactervmmessage.20	The expiration date for the Combo Card has extended.
plw_charactervmmessage.21	Failed to use Combo Card Extension Ticket.
plw_combatmgretc.1	Smash would work wonders against others using Defense skill.
plw_condition.1	Auto-battle mode will be turned off when the Tower Cylinder is in use.
plw_demigod.1	Morrighan
plw_demigod.2	Neamhain
plw_demigod.3	None
plw_dungeonrankingmgr.1	Failed to compile the rankings.
plw_dungeonrankingmgr.2	See Ranking
plw_dungeonrankingmgr.3	Failed to compile the rankings.
plw_dungeonrankingmgr.4	See Ranking
plw_event.1	Steal lazy Pan's flag and show him how it's done!
plw_event.2	You must retrieve the Blue Team's flag, which is located on the opposite side of the play field.
plw_event.3	Steal the opposing team's flag and bring it to the flag next to Lorna.
plw_event.4	Hurry! The Blue Team's flag is located to the south.
plw_event.5	Steal Pan's blue flag and bring it back to our team.
plw_event.6	Capture the flag! You can't win unless you steal the opposing team's flag.
plw_event.7	Charge towards that violent girl Lorna's flag!
plw_event.8	Sometimes, a strong offense is the best defense. Steal the opposing team's flag! 
plw_event.9	There's no time to be lazy. Bring back the Red Team's flag!
plw_event.10	You just have to steal Lorna's red flag and bring it back to where our team's flag is.
plw_event.11	My Score: {0}point(s)
plw_event.12	{0}person(s)
plw_event.13	Red Team
plw_event.14	Blue Team
plw_event.15	 along with {0} other person(s)
plw_event.16	 - {0} point(s)
plw_event.17	물풍선 이벤트에 레드팀으로 참가 하였습니다
plw_event.18	물풍선 이벤트에 블루팀으로 참가 하였습니다
plw_event.19	You have fed the Owl {0} time(s).
plw_event.20	You have fed the Tiger Cub {0} time(s).
plw_event.21	해당 경기에 대해 이미 응모한 쿠폰이 있습니다.{0}\n재응모하시겠습니까?
plw_event.22	월드컵 이벤트 응모
plw_family.1	Family System\nFamily Join Request
plw_family.2	The {0} family has sent you a join request. Would you like to join their family?
plw_family.3	Yes
plw_family.4	No
plw_family.5	{0}'s Wife
plw_family.6	{0}'s Husband
plw_family.7	{0}'s Mother
plw_family.8	{0}'s Father
plw_family.9	{0}'s Big Sister
plw_family.10	{0}'s Big Sister
plw_family.11	{0}'s Big Brother
plw_family.12	{0}'s Big Brother
plw_family.13	{0}'s Daughter
plw_family.14	{0}'s Son
plw_family.15	{0}'s Little Sister
plw_family.16	{0}'s Little Brother
plw_family.17	That name can be used.
plw_family.18	That name cannot be used.\nPlease try a different name.
plw_family.19	{0} has agreed to create a family.
plw_family.20	{0} does not want to create a family.
plw_family.21	You cannot get spousal consent because your spouse is not nearby.
plw_family.22	Cannot obtain spousal consent.
plw_family.23	Family System\nFamily Creation Agreement
plw_family.24	Do you give consent to your spouse, {0}, to create the {1} family?
plw_family.25	Failed to create family.\nPlease check the family name.
plw_family.26	Failed to create family.\nPlease obtain spousal consent.
plw_family.27	You cannot create a new family because it's been less than a month since your previous family was disbanded. \nYou can create a new family in {0} day(s).
plw_family.28	Failed to create family.
plw_family.29	The {0} family has been disbanded. You cannot create another family for a month.
plw_family.30	Failed to disband family.\nThat family does not exist.
plw_family.31	Failed to disband family.\nOnly the head of household can disband a family.
plw_family.32	Failed to disband family.
plw_family.33	A new member has joined the Family.
plw_family.34	The head of household can add members to the family.
plw_family.35	New family members can be added by the head of household.
plw_family.36	That character does not exist.
plw_family.37	That character is already in a family.
plw_family.38	A character from the same account cannot be added to the family.
plw_family.39	That character cannot be added to the Family.
plw_family.40	Failed to add a character to the family.
plw_family.41	A character was kicked out of the family.
plw_family.42	The head of household can kicks members out of the family.
plw_family.43	New family members can be added by the head of household.
plw_family.44	That character is not in your family.
plw_family.45	Failed to kick a character out of the family.
plw_family.46	You left the family.
plw_family.47	You are not in a family.
plw_family.48	A parent cannot leave the family.
plw_family.49	Failed to leave family.
plw_family.50	Family Custom canceled.\n Please select a new Family Motto.\n
plw_family.51	A new Family Custom has been selected.
plw_family.52	Family Customs can be changed 1 day after they are selected.
plw_family.53	Failed to select a Family Custom.
plw_family.54	Requested a summon.
plw_family.55	You cannot request any more summons today.
plw_family.56	Failed to summon.
plw_family.57	Family System\nSummon
plw_family.58	A member of the {0} family, {1}, has requested to summon you. Would you like be go to them?
plw_family.59	The family name must be at least 4 characters long.
plw_family.60	The family name cannot exceed 20 characters.
plw_family.61	A prohibited character was used.
plw_family.62	Family System\nDisband Family
plw_family.63	If you disband your family, you will not be able to create a new family for a month.\nWould you like to disband the {0} family?
plw_family.64	Family System\nFamily Member Removal
plw_family.65	Do you wish to kick {0} from the family?
plw_family.66	Family System\nLeaving the Family
plw_family.67	Do you wish to leave the {0} family?
plw_family.68	Declined the family join request.
plw_farming.1	Farm Management
plw_farming.2	Your crops need time to grow!\nYou cannot work the field anymore today.
plw_farming.3	You are currently working on {0}.\n You can work on something else in about {1} minute(s).
plw_farming.4	You are not currently on the waiting list. Please get another Waiting Ticket.
plw_farming.5	You have insufficient money in your inventory.
plw_farming.6	You have insufficient money in the bank.
plw_farming.7	Your bank account is blocked and cannot be used.
plw_farming.8	Your bank account is locked and cannot be used.
plw_farming.9	There was a problem during while managing the farm.
plw_farming.10	Farm 
plw_farming.11	You successfully leased a field.
plw_farming.12	Farm
plw_farming.13	Your wait to lease a field has been canceled.
plw_farming.14	Acidity has increased by {0}.
plw_farming.15	Acidity has decreased by {0}.
plw_farming.16	Acidity did not change.
plw_farming.17	Purity has increased by {0}.
plw_farming.18	Purity has decreased by {0}.
plw_farming.19	Purity did not change.
plw_farming.20	The Oak Barrel was replaced {0} time(s).\n\n{1}\n{2}\ncurrent freshness will be maintained for 24 hours.
plw_farming.21	Replace\nOak Barrel
plw_farming.22	Replace\nOak Barrel
plw_fashiongallery.1	You can't convert to Spectator Mode.
plw_fashiongallery.2	You can't convert to Spectator Mode while the Fashion Contest is in progress.
plw_fashionshowstatueprop.1	Fashion Contest Grand Prize Winner {0}
plw_fashionshowstatueprop.2	Fashion Contest Popularity Prize Winner {0}
plw_gardentreeprop.1	Plant Cared For By {0}
plw_gardentreeprop.2	Overgrown Plant
plw_guildmgr.1	The design has been applied. \nAll guild members may purchase the robe from Eavan's Shop.
plw_guildmgr.2	The guild robe has been newly designed.\nYou can purchase the guild robe from Dunbarton's Town Office. 
plw_guildmgr.3	The Guild Title has been changed to \"{0}\".
plw_hamletsswordprop.1	(Dismount and take a closer look...)
plw_hamletsswordprop.2	You see in front of you a sword engulfed in flames. Free your hands and you may be able to grab it...
plw_housecomponentowner.0	This item cannot be sold.
plw_housecomponentowner.1	Closets on sale cannot be opened.
plw_housecomponentowner.2	Closets on sale cannot be opened.
plw_houseguestbook.0	Reading the guestbook...
plw_houseguestbook.1	House Guestbook
plw_houseguestbook.2	Reading the comments written on the guestbook…
plw_houseguestbook.3	House Guestbook
plw_houseguestbook.4	Changing the greetings…
plw_houseguestbook.5	House Guestbook
plw_houseguestbook.6	Adding the new post…
plw_houseguestbook.7	House Guestbook
plw_houseguestbook.8	Adding a new comment…
plw_houseguestbook.9	House Guestbook
plw_houseguestbook.10	Deleting the post…
plw_houseguestbook.11	House Guestbook
plw_houseguestbook.12	House Guestbook
plw_houseguestbook.13	Your right to the guestbook has been temporarily blocked.
plw_houseguestbook.14	House Guestbook
plw_houseguestbook.15	Failed to read the guestbook.
plw_houseguestbook.16	House Guestbook
plw_houseguestbook.17	Your right to the guestbook has been temporarily blocked.
plw_houseguestbook.18	House Guestbook
plw_houseguestbook.19	Failed to read the guestbook.
plw_houseguestbook.20	House Guestbook
plw_houseguestbook.21	Your right to the guestbook has been temporarily blocked.
plw_houseguestbook.22	House Guestbook
plw_houseguestbook.23	Failed to read the guestbook.
plw_houseguestbook.24	House Guestbook
plw_houseguestbook.25	House Guestbook
plw_houseguestbook.26	House Guestbook
plw_houseguestbook.27	Unable to find the guestbook window.
plw_houseguestbook.28	Unable to find the guestbook window.
plw_houseguestbook.29	Unable to find the guestbook window.
plw_housingmgrcache.0	\\Housing
plw_inventoryaction.0	The location of the house will be displayed on the minimap.
plw_inventoryaction.1	The house is not located in this area.
plw_inventoryaction.2	You cannot view the equipment.
plw_inventoryaction.3	Once you unquip the bag, all items that could not fit in the inventory will be transferred to the temporary inventory.\nWould you like to remove all the items inside this bag?
plw_inventoryaction.4	Are you sure you want to destroy the {0}? You will lose all the stamps you've collected.
plw_inventoryaction.5	Are you sure you want to destroy the {0}? You will lose any stamp progress you have made.
plw_inventoryaction.6	Not available for use at this time.
plw_inventoryaction.7	Do you wish to exchange the item for points?
plw_inventoryaction.8	You're out of breath and cannot eat any food or drink any potions.
plw_inventoryaction.9	You cannot open the Fantasy Life Club as you are not a participant.
plw_inventoryaction.10	Restoration failed.
plw_inventoryaction.11	Destroy all?
plw_inventoryaction.12	Please select the untradeable Exclusive Item you want to unlock.\nThe Trade Unlock Potion can be used on the same item up to a maxium of {0} times.
plw_inventoryaction.13	There are no items to temporarily unlock.
plw_inventoryaction.14	{0} cannot be used at this time.
plw_inventoryaction.15	You must be married in order to register a family.
plw_inventoryaction.16	All training has already been completed.
plw_inventoryaction.17	Cannot be used at Rank 1 or above.
plw_inventoryaction.18	Cannot be used. You don't know the corresponding skill.
plw_inventoryaction.19	Notice
plw_inventoryaction.20	That skill's EXP gauge will be completely filled.\nDo you really want to use the item?
plw_inventoryaction.21	%s cannot be used more than once.
plw_inventoryaction.22	Pets cannot be used.
plw_inventoryaction.23	Notice
plw_inventoryaction.24	You get a bonus for completing this Shadow Mission.\nDo you want to use it?
plw_inventoryaction.25	{0} cannot be used multiple times.
plw_inventoryaction.26	Write a message you want to send to someone on this memo!
plw_inventoryaction.27	Please select the item for which you wish to remove the expiration.
plw_inventoryaction.28	Can only be used up to Rank 1.
plw_inventoryaction.29	Avon Feather
plw_inventoryaction.30	Can be re-used.
plw_inventoryaction.31	Teleporting to Avon.
plw_inventoryaction.32	No return location found. You will be teleported to the Avon entrance.
plw_inventoryaction.33	You will be teleported to your previous location.
plw_inventoryaction.34	\nOnce activated, you must wait 5 minutes before you can use this item again.\nTeleport now?
plw_inventoryaction.35	Notice
plw_inventoryaction.36	There are no items in the Kiosk to tidy.
plw_inventoryaction.37	Do you wish to tidy up the items in your Kiosk?\nYour currently open Kiosk will automatically be closed.
plw_inventoryaction.38	Do you wish to tidy up the items in your Kiosk?\nThe items in your Kiosk will be removed,\nand your profits will be deposited into your bank.
plw_inventoryaction.39	Select an item you'd like to have undergo an Artisan Upgrade.
plw_inventoryaction.40	No appropriate items.
plw_inventoryaction.41	Select the Enchantment Scroll to remove Expiration Timer.
plw_inventoryvmmessage.0	You may share your food amongst the people that are sitting in chairs. \nIrrespective of the number of people, you can share everyone's food 50/50.\nWould you like to do a House Share?
plw_inventoryvmmessage.1	House Share
plw_inventoryvmmessage.2	Unable to receive this item.
plw_inventoryvmmessage.3	Send Rice Cake
plw_inventoryvmmessage.4	On New Year's Day, it is customary to show people you care about them by sending Rice Cakes.\nWould you like to use the Rice Cake delivery service?\n(If you just desire to eat the Rice Cake, select 'No')
plw_inventoryvmmessage.5	Send White Chocolate\n화이트 초콜릿 보내기
plw_inventoryvmmessage.6	화이트 데이에는 화이트 초콜릿에 자신의 마음을 담아 보낼 수 있습니다.\n화이트 초콜릿 배달 서비스를 이용하시겠습니까?\n(그냥 먹고 싶으면 아니오를 선택하세요)
plw_inventoryvmmessage.7	Send Marshmallow\n마쉬멜로 보내기
plw_inventoryvmmessage.8	화이트 데이에는 마쉬멜로에 자신의 마음을 담아 보낼 수 있습니다.\n마쉬멜로 배달 서비스를 이용하시겠습니까?\n(그냥 먹고 싶으면 아니오를 선택하세요)
plw_inventoryvmmessage.9	Yes
plw_inventoryvmmessage.10	No
plw_inventoryvmmessage.11	You can share your food with others.\nRegardless of how many people you share it with, everyone will receive 50% evenly.\nDo you wish to do Food Sharing?
plw_inventoryvmmessage.12	Food Sharing
plw_inventoryvmmessage.13	You are attempting to open the Ordinary Chest using the Premium Chest Key.\nAre you sure you want to proceed?
plw_inventoryvmmessage.14	Open the Ordinary Chest
plw_inventoryvmmessage.15	Send Moon Cake\n월병 보내기
plw_inventoryvmmessage.16	추석에는 월병에 자신의 마음을 담아 보낼 수 있습니다.\n월병 배달 서비스를 이용하시겠습니까?\n(그냥 먹고 싶으면 아니오를 선택하세요)
plw_inventoryvmmessage.17	{0} has been dropped.
plw_inventoryvmmessage.18	The item has been dropped.
plw_inventoryvmmessage.19	Failed to destroy all.
plw_inventoryvmmessage.20	You can eat with other people that are sitting around the campfire.\nEating with others will maintain the positive effects of food longer.\nWant to share a campfire?
plw_inventoryvmmessage.21	Restore the Artisan Upgrade?
plw_item.0	Increased assault damage in ranged attacks
plw_item.1	Decreased assault damage in ranged attacks
plw_item.2	Increased assault distance in ranged attacks
plw_item.3	Decreased assault distance in ranged attacks
plw_item.4	Increased assault angle in ranged attacks
plw_item.5	Decreased assault angle in ranged attacks
plw_item.9	Elf Male Only
plw_item.10	Elf Female Only
plw_item.11	Elf Only
plw_item.12	Human Male Only
plw_item.13	Human Female Only
plw_item.14	Human
plw_item.15	Elf
plw_item.16	Giant
plw_item.17	Male
plw_item.18	Female
plw_item.19	-only
plw_item.20	Activate Chain Casting +{0}
plw_item.21	MP Usage + {0}%
plw_item.22	MP Usage - {0}%
plw_item.23	Evaporated MP - {0}%
plw_item.24	Skill Requirement: Rank {0} {1} or higher
plw_item.25	Skill Requirement: {0} {1} dan or higher
plw_item.26	Upgrade {0}/{1}\nGem Upgrade {2}
plw_item.27	- {0}% Charging Speed
plw_item.28	+ {0}% Charging Speed
plw_item.29	-{0}% Magic Damage
plw_item.30	+{0}% Magic Damage
plw_item.31	\n\n<color=2> While calling the dragon (Not Available)</color>
plw_item.32	\n\n<color=2>Not Available</color>
plw_item.33	Blessed
plw_item.34	Royal Alchemist Only
plw_item.35	\n{0} Exclusive Item (Trade Unlock)
plw_item.36	<color=0>Number of unlocks available: {0}</color>
plw_item.37	<color=2>Number of unlocks available: 0</color>
plw_item.38	Holy
plw_item.39	\n\n{0}회 / 5회
plw_item.40	AP +{0}
plw_item.41	Ice Magic Damage +15%
plw_item.42	When raining, Attack -50%
plw_item.43	Max Durability +{0}\n
plw_item.44	Max Durability -{0}\n
plw_item.45	An artisan has upgraded {0} \nto {1}.
plw_item.46	<color=3>Piercing Level {0}\n(Decreases Defense by {1} and Protection by {2})</color>
plw_item.47	<color=3>Piercing Level {0}</color> <color=5>+{1}</color>\n<color=3>(Decreases Defense by {2} and Protection by {3})</color>
plw_itemenhancemgr.1	<color=3>[Special Upgrade: </color><color=7>{0}</color><color=3> Level]</color>\n
plw_itemenhancemgr.2	The Special Upgrade could not be performed.
plw_itemenhancemgr.3	Notice
plw_itemenhancemgr.4	Equip the item?
plw_itemmarket.1	Invalid User.
plw_itemmarket.2	The item has already moved to your inventory.
plw_itemmarket.3	This item is not available for sale.
plw_itemmarket.4	Open Market inventory is full.
plw_itemmarket.5	Invalid seller.
plw_itemmarket.6	This item was already sold.
plw_itemmarket.7	The sale of this item was cancelled.
plw_itemmarket.8	Insufficient gold.
plw_itemmarket.9	This item is not available for sale.
plw_itemmarket.10	Failed to work with Open Market inventory.
plw_itemmarket.11	아이템 오픈마캣 보관함 작업에 실패하였습니다.\n오류 코드 : %I64u
plw_itemmarket.12	Open Market operation failed.
plw_itemmarket.13	아이템 오픈마캣을 작업에 실패하였습니다.\n오류 코드 : %I64u
plw_itemmarket.14	Loading
plw_itemmarket.15	Open Market
plw_itemmarket.16	Open Market
plw_itemmarket.17	{0} is insufficient gold to make a purchase.
plw_itemmarket.18	An error occurred during purchase.
plw_itemtooltip.0	Published by :
plw_itemtooltip.1	Bidder:
plw_itemtooltip.2	Bidding Price:
plw_itemtooltip.3	Announcement at {2}:{3} on {0}/{1}
plw_itemtooltip.4	Slightly increased collection speed
plw_itemtooltip.5	Increased collection speed
plw_itemtooltip.6	Increased collection probability
plw_itemtooltip.7	Can collect 2 items at a time within a set probability
plw_itemtooltip.8	Increased repair cost
plw_itemtooltip.9	'{0}'\n\n칠월 칠석에\n{1}{이} {2}에게
plw_itemtooltip.10	Glowing {0}
plw_itemtooltip.11	\n\nExpires in {2}:00, {0}/{1}
plw_itemtooltip.12	Valid until {0}/{1}
plw_itemtooltip.13	Valid until {2}:00, {0}/{1}
plw_itemtooltip.14	For Cooking Contests Only
plw_itemtooltip.15	{0}'s work of art
plw_itemtooltip.16	Repair Fee x {0}.{1}
plw_itemtooltip.17	Repair Fee x {0}
plw_itemtooltip.18	Total watering %d times
plw_itemtooltip.19	<color=3>{0} Seal</color>
plw_itemtooltip.20	Total number of watering {0}
plw_itemtooltip.21	QUAL: {0}
plw_itemtooltip.22	Charge Count: {0}
plw_itemtooltip.23	(Item protected if repair results in failure)
plw_itemtooltip.24	(Item protected if Enchant results in failure)
plw_itemtooltip.25	Sealed
plw_itemtooltip.26	{0} hours and {1} minutes to unseal.
plw_itemtooltip.27	Less than 5 minutes to unseal.
plw_itemtooltip.28	{0} minutes left to unseal.
plw_itemtooltip.29	There is a recorded video.
plw_itemtooltip.30	Title:
plw_itemtooltip.31	You can record a video.
plw_itemtooltip.32	Only Pet Trade Possible
plw_itemtooltip.33	\nCreator : {0}\nAged: {1} Day(s)\nClient: {2}
plw_itemtooltip.34	Number of times the Owl has been fed: {0} times
plw_itemtooltip.35	\nOver {0} {1}
plw_itemtooltip.36	\n\nLucky Coupon Number : <color=1>{0}</color>
plw_itemtooltip.37	\n\n<color=2>This is not a valid Lucky Coupon.</color>
plw_itemtooltip.38	Slope {0}
plw_itemtooltip.39	\n\n<color=7>You may be able to use this more efficiently if you talk to the alchemist who invented the Tower Cylinder.</color>
plw_itemtooltip.40	Does not exist.
plw_itemtooltip.41	\n목적지:[<color=3>{0}<color=0>]
plw_itemtooltip.42	(Cannot be enchanted)
plw_itemtooltip.43	\n{0} can be revived.
plw_itemtooltip.44	Impossible to ressurect.
plw_itemtooltip.45	[When your Destiny is: {0}]
plw_itemtooltip.46	Available</color>
plw_itemtooltip.47	\n\n<color=3>Available</color>
plw_itemtooltip.48	\n<color=3>Return Location: {0}</color>
plw_itemtooltip.49	Defense
plw_itemtooltip.50	Protection
plw_itemtooltip.51	Minimum Damage
plw_itemtooltip.52	Maximum Damage
plw_itemtooltip.53	Critical
plw_itemtooltip.54	Magic Attack
plw_itemtooltip.55	Fire Alchemy Efficiency
plw_itemtooltip.56	Wind Alchemy Efficiency
plw_itemtooltip.57	Clay Alchemy Efficiency
plw_itemtooltip.58	Water Alchemy Efficiency
plw_itemtooltip.59	[When your Destiny is: {0}]
plw_itemtooltip.60	+{0}
plw_itemtooltip.61	{0} {1}
plw_itemtooltip.62	<color=3>This product includes\nitems like the following.</color>
plw_itemtooltip.63	({0})
plw_itemtooltip.64	[Artisan Upgrade]
plw_itemtooltip.65	Max Durability +{0}
plw_itemtooltip.66	Min Durability -{0}
plw_itemtooltip.67	Pet sale information\nNumber of sales: {0} / {1}\nRace: {2}\nAge: {3}\nLevel: {4} (Cumulative level: {5})
plw_itemtooltip.68	\n\n<color={0}>Number of trades remaining : {1}</color>
plw_itemupgrademgr.1	[Developer Use Message] Upgrade Method has disappeared.
plw_itemupgrademgr.2	{0}, the Royal Alchemist, has discovered a new Cylinder Upgrade Method.
plw_itemupgrademgr.3	A new Cylinder Upgrade Method has been discovered!
plw_joust.1	Opponent
plw_joust.2	\nReceived {0} Jousting Point(s).
plw_joust.3	The match will start in {0} seconds.\nPlease prepare to enter a command.
plw_joust.4	You've lost the match against {0}.
plw_joust.5	Enter a command.
plw_joust.6	You've been disqualified from the match.
plw_joust.7	Your entry into the Jousing Tournament has been canceled.
plw_mailboxcomponent.1	You need an additional {0} Gold for the fee. Please check the balance in your inventory.
plw_mailboxcomponent.2	You have successfully confirmed the character.
plw_mailboxcomponent.3	The mail was successfully sent to {0}.
plw_mailboxcomponent.4	This is a non-existing character. \nPlease check the name of the recipient one more time.
plw_mailboxcomponent.5	This cannot be sent to a pet character.
plw_mailboxcomponent.6	You cannot send this item to a character within the same account.
plw_mailboxcomponent.7	The selected character could not be found.
plw_mailboxcomponent.8	You cannot send mail to yourself.
plw_mailboxcomponent.9	You cannot send any mail because your inbox is full. Please accept your received mail and/or delete them.
plw_mailboxcomponent.10	You cannot send any mail because your outbox is full. Please wait until the recipients accept the pending mail.
plw_mailboxcomponent.11	You have already sent {1} pieces of mail to {0}. Please wait until {0} accepts the mail.
plw_mailboxcomponent.12	You cannot send any more mail to the recipient because the recipient's inbox is full. Please wait until the recipient accepts the pending mail.
plw_mailboxcomponent.13	You need additional Gold to pay for the processing fee. Please check the balance in your inventory.
plw_mailboxcomponent.14	You cannot sent any items that are currently being outfitted.
plw_mailboxcomponent.15	You have exceeded the maximum number of outgoing mail allowed.
plw_mailboxcomponent.16	You cannot mail this item.
plw_mailboxcomponent.17	You have failed to mail the item.
plw_mailboxcomponent.18	You do not have enough money in your bank account.
plw_mailboxcomponent.19	You do not have enough Gold in your inventory.
plw_mailboxcomponent.20	Your bank account is full and therefore you cannot make any more deposits.
plw_mailboxcomponent.21	This mail has already been recalled by the sender.
plw_mailboxcomponent.22	You have failed to confirm the recipient for the item's payment. 
plw_mailboxcomponent.23	You have failed to receive the mail.
plw_mailboxcomponent.24	This mail has already been recalled by the sender.
plw_mailboxcomponent.25	The sender's character has been deleted.
plw_mailboxcomponent.26	You have failed to confirm the sender.
plw_mailboxcomponent.27	You have failed to return the mail to the sender.
plw_mailboxcomponent.28	The recipient has received the item.
plw_mailboxcomponent.29	Unable to recall the mail from the recipient.
plw_mailboxcomponent.30	Try again in {0} sec.
plw_mailboxcomponent.31	GM mail cannot be ㅣreturned.
plw_marinagateprop.1	Get off the raft
plw_marinagateprop.2	Get on the raft
plw_naorespawnservice.1	퍼거스의 대장간!! 믿고 맡길 수 있는 여러분의 친구라오~ 쿠하하하.
plw_naorespawnservice.2	<npcportrait name=\"ferghus\"/><title name=\"퍼거스\"/>이크. 발이 미끄러졌네...<p/><npcportrait name=\"ferghus\"/><title name=\"퍼거스\"/>흠... 보아하니 댁도 여기저기 원한을 많이 산 것 같은데<br/>나처럼 착하게 사시구려.<br/>쿠하하하.<p/><npcportrait name=\"ferghus\"/><title name=\"퍼거스\"/>앗. 이건 나를 애타게 찾는 목소리?!!<br/>빨리 대장간으로 돌아가야겠구려.<br/>그럼, 그 쪽도 조심하시오~~
plw_partymgr.1	Party formation is forbidden here.
plw_partymgr.2	Cannot open the party window here.
plw_personalshop.1	Unable to close the Personal Shop.
plw_personalshop.2	Kiosk not installed.
plw_personalshop.3	A Kiosk has been installed in {0}.
plw_personalshop.4	A Kiosk has been installed.
plw_personalshop.5	The items in your Kiosk have been tidied.
plw_personalshopcustomer.1	{0} of {1}
plw_personalshopcustomer.2	That item does not exist.
plw_personalshopcustomer.3	Corresponding item does not exist.
plw_personalshopcustomer.4	Corresponding item does not exist.
plw_personalshopcustomer.5	You cannot purchase your own goods.
plw_privatefarm.1	Failed to exit Homestead.
plw_privatefarm.2	Unable to delete.
plw_privatefarm.3	Not enough materials.
plw_privatefarm.4	Unable to plant.
plw_privatefarm.5	You've created a Homestead. You can move to your Homestead by using the Homestead menu (Hotkey A).
plw_privatefarm.6	An unknown error has occurred.
plw_privatefarm.7	A Homestead already exists.
plw_privatefarm.8	Incorrect theme selected.
plw_privatefarm.9	Name already in use.
plw_privatefarm.10	An error has occurred while creating a Homestead. Please try again.
plw_privatefarm.11	Error
plw_privatefarm.12	Homestead expansion failed.\nPlease exit the Homestead and enter again.
plw_privatefarm.13	You've entered the Homestead.
plw_privatefarm.14	You've exited the Homestead.
plw_privatefarm.15	{0} of Homestead completed.
plw_privatefarm.16	Guide
plw_privatefarm.17	You've successfully made a Homestead visitation request.
plw_privatefarm.18	Guide
plw_privatefarm.19	Visitation request has failed.\nPlease try again later.
plw_privatefarm.20	Guide
plw_privatefarm.21	You are not authorized to visit this Homestead.\nWould you like to make a visitation request?
plw_privatefarm.22	Error
plw_privatefarm.23	You've been moved outside because the Homestead has changed.
plw_privatefarm.24	You have been expelled from the Homestead.
plw_propeffect.1	{0}\n({1} sec, {2}m)
plw_propeffect.2	{0}\n({1} sec, {2}m)
plw_propeffect.3	{0} - {1} Points!
plw_pvpdescmgr.1	Failed to compile the rankings.
plw_pvpdescmgr.2	See Ranking
plw_pvpdescmgr.3	Failed to compile the rankings.
plw_pvpdescmgr.4	See Ranking
plw_pvpmgr.1	You can't change settings on the "Allow Elf vs. Giant PVP" option for 3 minutes.
plw_pvpmgr.2	The PVP option for Paladins and Dark Knights cannot be reset for 3 minutes.
plw_pvpmgr.3	You can't change the settings on the PVP option for 3 minutes.
plw_quest.1	Expired
plw_quest.2	Expired
plw_relationmgr.1	Message added.
plw_relationmgr.2	Error occurred during transmission.
plw_relationmgr.3	Failed to register screen shot.
plw_relationmgr.4	Failed to register screen shot.\nNo response.
plw_relationmgr.5	Error occurred during transmission.
plw_relationmgr.6	{0} year(s) ago
plw_relationmgr.7	{0} month(s) ago
plw_relationmgr.8	{0} day(s) ago
plw_relationmgr.9	{0} hour(s) ago
plw_relationmgr.10	{0} minute(s) ago
plw_relationmgr.11	A moment ago
